fseqno,timestamp,car_count,inf_latency,model,gpu_util,gpu_power,network,gpu_mem,cpu_power,cpu_util,cpu_mem
8440,1738078358,15,0.0057082176208496,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8441,1738078358,15,0.0057082176208496,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8442,1738078358,17,0.0067768096923828,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8443,1738078358,16,0.0215144157409667,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8444,1738078358,15,0.0225207805633544,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8445,1738078358,13,0.0058498382568359,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8446,1738078358,13,0.0054621696472167,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8447,1738078358,13,0.0058460235595703,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8448,1738078359,10,0.0059783458709716,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8449,1738078359,12,0.0056331157684326,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8450,1738078359,12,0.006645917892456,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8451,1738078359,15,0.0059070587158203,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8452,1738078359,14,0.005239725112915,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8453,1738078359,13,0.0063679218292236,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8454,1738078359,12,0.005533218383789,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8455,1738078359,13,0.0052080154418945,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8456,1738078359,14,0.0057768821716308,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8457,1738078359,14,0.0062091350555419,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8458,1738078359,11,0.0051929950714111,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8459,1738078359,11,0.0052003860473632,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8460,1738078359,11,0.0053503513336181,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
